Record_ID,DateKey,GeographyKey,DisasterTypeKey,Compound_Event,Disaster_Duration_Days,Disaster_Magnitude,Hazard_Severity,Number_of_Deaths,Number_of_Injuries,Number_of_People_Affected,Displacement_Count,Houses_Damaged,Infrastructure_Damage_Score,Crop_Loss_Percentage,Economic_Loss_Million
REC_2017_10_D_021,20171001,21,8,1,22,8.95,10.0,16,73,306071,57076,12751,27.07,30.65,353.0472
REC_2017_10_D_022,20171001,22,8,0,18,10.53,10.0,2,23,100069,25357,4931,50.98,49.99,1629.0511
REC_2017_10_D_031,20171001,31,8,0,21,11.49,10.0,31,255,380188,123378,25815,62.1,42.9,423.8658
REC_2017_10_D_032,20171001,32,8,0,22,10.46,10.0,1,6,108840,24149,6285,40.19,35.37,294.9674
REC_2017_10_D_033,20171001,33,8,0,11,5.82,5.62,1,19,252842,73000,12855,21.68,31.14,146.2446
REC_2017_10_D_042,20171001,42,8,0,19,10.48,10.0,18,56,310583,68204,14716,37.45,42.33,290.2204
REC_2017_10_D_043,20171001,43,8,0,14,6.82,6.47,0,9,27748,6837,1694,23.64,35.73,719.2467
REC_2017_10_D_049,20171001,49,2,0,5,1.88,1.9,0,10,20550,5317,1238,14.65,0.0,190.6999
REC_2017_10_D_051,20171001,51,8,0,20,11.25,10.0,7,77,207758,47634,7201,38.75,19.89,1026.7368
REC_2017_10_D_052,20171001,52,8,0,22,8.76,9.57,24,87,192278,63351,14682,48.14,29.64,198.449
REC_2017_10_D_053,20171001,53,8,1,12,4.9,5.81,0,11,211821,61258,10801,30.3,14.94,211.7119
REC_2017_10_D_054,20171001,54,2,0,11,6.15,6.33,5,40,341495,101724,14498,38.4,0.0,692.1494
REC_2017_10_D_057,20171001,57,2,0,7,3.58,3.89,1,12,170704,44335,10115,22.99,0.0,152.187
REC_2017_10_D_061,20171001,61,8,1,22,10.47,10.0,5,30,203707,48449,9463,38.08,24.38,569.1186
REC_2017_10_D_063,20171001,63,8,0,11,4.61,5.06,1,11,237051,83489,15340,36.12,26.77,392.3158
REC_2017_10_D_064,20171001,64,2,0,4,2.94,2.66,0,1,132717,36263,5754,6.4,0.0,136.8416
REC_2017_10_D_071,20171001,71,8,1,18,9.43,10.0,19,137,343620,85753,11632,46.4,49.39,955.507
REC_2017_10_D_072,20171001,72,8,0,22,11.31,10.0,9,27,193338,55712,13392,63.8,42.72,721.6262
REC_2017_10_D_074,20171001,74,2,0,4,2.32,1.91,0,6,86302,25973,4798,5.25,0.0,221.6707
REC_2017_10_D_081,20171001,81,8,0,20,10.85,10.0,4,35,83296,20587,4834,40.76,48.93,1801.4667
REC_2017_10_D_083,20171001,83,2,0,7,3.82,3.71,0,4,195847,70818,16698,21.79,0.0,186.3678
REC_2017_10_D_092,20171001,92,8,0,17,7.79,8.54,7,50,183131,52419,10824,46.16,31.07,178.7045
REC_2017_10_D_093,20171001,93,8,0,12,5.78,6.5,4,47,217499,50538,10009,34.73,19.9,31.5493
REC_2017_11_D_001,20171101,1,8,1,22,10.27,10.0,1,13,79952,26173,6948,59.85,34.01,989.1844
REC_2017_11_D_002,20171101,2,8,0,22,8.12,10.0,11,76,245570,55547,12884,43.18,28.36,275.4901
REC_2017_11_D_003,20171101,3,8,1,15,8.81,8.46,6,42,275680,78844,15622,43.44,22.93,70.7237
REC_2017_11_D_011,20171101,11,8,1,21,10.9,10.0,12,95,310872,74833,17794,42.82,24.87,716.9993
REC_2017_11_D_012,20171101,12,8,0,21,12.31,10.0,15,114,120317,38924,9183,60.95,7.83,359.8259
REC_2017_11_D_021,20171101,21,8,0,20,9.79,10.0,18,67,303643,56623,8566,39.31,29.97,289.7621
REC_2017_11_D_022,20171101,22,8,0,19,9.99,10.0,4,19,101042,25604,5925,50.15,48.34,626.1821
REC_2017_11_D_023,20171101,23,8,1,20,8.28,10.0,11,42,333405,104475,22030,52.46,27.91,1172.7778
REC_2017_11_D_025,20171101,25,6,0,20,9.15,10.0,31,104,309486,113049,26686,69.37,0.0,699.0251
REC_2017_11_D_031,20171101,31,8,1,20,11.46,10.0,27,251,385011,124943,30791,67.73,34.99,877.5392
REC_2017_11_D_034,20171101,34,2,0,13,4.53,5.31,0,13,178689,46966,8856,22.63,0.0,1401.9219
REC_2017_11_D_041,20171101,41,8,0,18,10.53,10.0,26,240,376973,123933,17858,61.97,62.03,619.5572
REC_2017_11_D_043,20171101,43,8,0,20,10.7,8.96,2,16,36764,9058,1811,29.56,40.88,1426.6738
REC_2017_11_D_044,20171101,44,2,1,6,2.44,2.72,0,13,38073,7011,975,5.83,0.0,155.0778
REC_2017_11_D_051,20171101,51,8,0,22,8.06,10.0,11,72,208732,47858,6859,49.21,24.83,542.0058
REC_2017_11_D_052,20171101,52,8,0,22,8.39,10.0,16,88,195756,64497,11751,57.74,31.2,292.2459
REC_2017_11_D_053,20171101,53,8,0,16,8.9,7.57,1,16,270656,78273,13584,35.93,10.4,266.5976
REC_2017_11_D_061,20171101,61,8,1,18,12.76,10.0,8,50,203972,48512,7737,42.53,33.96,757.6039
REC_2017_11_D_062,20171101,62,8,1,22,10.06,10.0,32,93,340172,87886,19202,50.11,29.76,143.6375
REC_2017_11_D_063,20171101,63,8,1,20,12.3,10.0,41,141,394907,139086,31601,69.23,55.79,186.8013
REC_2017_11_D_071,20171101,71,8,1,18,10.44,10.0,14,123,348987,87093,21226,40.74,52.62,1215.7668
REC_2017_11_D_072,20171101,72,8,0,18,8.48,10.0,7,40,194991,56188,13030,53.79,44.15,189.4427
REC_2017_11_D_073,20171101,73,8,1,18,8.17,8.9,41,394,370542,120618,23731,47.74,50.68,34.5699
REC_2017_11_D_081,20171101,81,8,1,19,10.68,10.0,3,25,81674,20186,4610,46.61,54.9,81.1671
REC_2017_11_D_082,20171101,82,8,1,19,12.09,10.0,17,87,199353,44399,8962,41.44,15.78,4091.4833
REC_2017_11_D_091,20171101,91,8,0,21,12.82,10.0,33,162,436705,126836,27033,55.6,27.67,93.5387
REC_2017_12_D_011,20171201,11,2,0,13,6.19,6.05,1,7,208176,50112,12350,27.47,0.0,229.858
REC_2017_12_D_019,20171201,19,3,0,7,3.12,2.42,0,2,109672,32945,8693,11.57,0.0,12.8129
REC_2017_12_D_021,20171201,21,2,0,6,5.0,4.28,0,8,144130,26877,5734,16.11,0.0,61.1571
REC_2017_12_D_031,20171201,31,2,0,14,5.66,6.25,0,3,265460,86147,11622,41.99,0.0,165.4287
REC_2017_12_D_036,20171201,36,2,0,4,3.47,3.06,0,2,143673,29182,6479,14.01,0.0,56.8089
REC_2017_12_D_052,20171201,52,2,0,5,2.23,2.66,1,19,74137,24426,6396,17.7,0.0,66.4377
REC_2017_12_D_071,20171201,71,2,0,7,4.33,3.4,1,7,139469,34805,6915,15.01,0.0,398.0057
REC_2018_01_D_021,20180101,21,2,0,8,4.75,4.6,0,14,152979,28527,4933,12.29,0.0,109.2394
REC_2018_02_D_002,20180201,2,2,0,8,4.04,3.19,0,12,92991,21034,4926,15.85,0.0,124.3556
REC_2018_02_D_024,20180201,24,3,0,8,2.98,3.25,0,7,59182,14892,3070,23.53,0.0,108.7262
REC_2018_02_D_043,20180201,43,3,0,8,5.56,4.52,0,8,20739,5110,1356,17.79,0.0,359.3192
REC_2018_02_D_093,20180201,93,2,0,5,2.42,2.95,0,9,116385,27043,4291,17.19,0.0,66.8321
REC_2018_03_D_027,20180301,27,5,0,9,4.33,4.9,0,6,35556,8529,2247,23.78,13.11,209.2798
REC_2018_03_D_035,20180301,35,2,0,10,3.23,3.92,1,14,201117,50955,11126,24.09,0.0,324.4457
REC_2018_03_D_043,20180301,43,2,0,8,4.04,3.87,0,6,18964,4672,1116,9.54,0.0,300.9609
REC_2018_03_D_049,20180301,49,2,0,6,3.09,3.31,0,13,29555,7647,1172,9.61,0.0,490.071
REC_2018_04_D_002,20180401,2,2,0,10,5.08,4.08,1,19,111277,25170,4752,23.34,0.0,423.9338
REC_2018_04_D_003,20180401,3,7,0,10,3.98,4.05,0,8,69891,19988,4255,15.54,0.0,194.3874
REC_2018_04_D_010,20180401,10,7,0,19,8.54,9.27,4,43,77179,27157,6222,59.95,0.0,745.0505
REC_2018_04_D_012,20180401,12,7,0,20,8.75,10.0,3,33,34316,11101,2789,60.78,0.0,714.6606
REC_2018_04_D_013,20180401,13,7,0,10,5.57,6.01,0,5,35225,8804,1782,26.64,0.0,212.5144
REC_2018_04_D_016,20180401,16,7,0,19,10.34,10.0,8,69,177512,47445,10848,46.13,0.0,3801.6942
REC_2018_04_D_018,20180401,18,7,0,20,11.67,10.0,5,27,99459,31791,6183,54.8,0.0,1319.0067
REC_2018_04_D_020,20180401,20,7,0,3,2.93,2.52,0,5,20565,6232,1264,9.91,0.0,161.8469
REC_2018_04_D_023,20180401,23,7,0,11,6.06,6.39,3,28,137692,43147,7341,41.58,0.0,665.154
REC_2018_04_D_030,20180401,30,7,0,18,8.16,10.0,12,73,44845,10857,2198,42.84,0.0,610.7178
REC_2018_04_D_033,20180401,33,2,0,8,3.91,4.14,0,11,204628,59080,13044,24.17,0.0,208.8476
REC_2018_04_D_034,20180401,34,7,0,20,10.44,10.0,3,20,126616,33279,6453,48.56,0.0,34.9531
REC_2018_04_D_047,20180401,47,7,0,21,12.71,10.0,15,118,164523,49310,10842,52.07,0.0,249.7523
REC_2018_04_D_048,20180401,48,7,1,18,8.41,10.0,30,181,121821,31366,7018,47.74,0.0,88.6948
REC_2018_04_D_049,20180401,49,7,0,19,8.46,10.0,1,13,18245,4721,829,50.74,0.0,312.2848
REC_2018_04_D_052,20180401,52,7,1,21,9.81,10.0,6,63,33611,11074,2921,69.02,0.0,763.235
REC_2018_04_D_053,20180401,53,7,0,18,9.51,10.0,9,80,152548,44116,7313,63.72,0.0,538.9315
REC_2018_04_D_062,20180401,62,2,0,6,2.03,2.27,0,6,103590,26763,7082,15.37,0.0,171.5515
REC_2018_04_D_064,20180401,64,2,0,6,1.88,2.27,0,5,118121,32275,7430,4.95,0.0,146.2237
REC_2018_04_D_065,20180401,65,7,0,19,11.9,10.0,2,26,52235,18179,2947,74.96,0.0,169.7292
REC_2018_04_D_068,20180401,68,7,0,18,12.87,10.0,13,101,175986,60539,15671,59.99,0.0,343.7231
REC_2018_04_D_071,20180401,71,2,0,12,6.13,5.53,0,11,208203,51959,10607,23.48,0.0,557.922
REC_2018_04_D_074,20180401,74,7,0,22,8.55,10.0,15,112,217107,65340,11213,54.35,0.0,1180.8767
REC_2018_04_D_076,20180401,76,7,0,18,9.95,10.0,9,43,180309,50875,13560,48.74,0.0,746.3956
REC_2018_04_D_083,20180401,83,7,0,21,8.37,10.0,35,205,279505,101069,21445,65.76,0.0,2620.6761
REC_2018_04_D_084,20180401,84,2,0,11,5.54,4.62,0,5,115130,42750,7910,34.07,0.0,185.6721
REC_2018_04_D_088,20180401,88,7,0,21,11.99,10.0,13,94,234448,60028,11773,43.94,0.0,1651.8703
REC_2018_04_D_089,20180401,89,7,0,21,11.19,10.0,10,77,126938,39736,7863,53.45,0.0,179.9005
REC_2018_04_D_091,20180401,91,7,0,18,8.81,10.0,19,84,172188,50010,7496,54.68,0.0,313.043
REC_2018_04_D_094,20180401,94,7,0,9,3.35,3.96,0,9,39763,10475,2666,17.67,0.0,194.6866
REC_2018_05_D_001,20180501,1,8,1,18,8.65,10.0,2,26,78834,25807,5629,60.15,32.29,1117.1016
REC_2018_05_D_002,20180501,2,8,0,20,7.25,8.72,3,42,213608,48318,12005,31.04,27.13,396.1406
REC_2018_05_D_003,20180501,3,8,0,11,7.87,6.54,2,24,224121,64098,10005,32.66,14.84,404.6345
REC_2018_05_D_008,20180501,8,7,0,19,9.22,10.0,5,22,182864,37531,9276,32.72,0.0,433.1966
REC_2018_05_D_010,20180501,10,7,0,19,9.67,8.7,0,10,73916,26009,5161,57.14,0.0,1754.7533
REC_2018_05_D_011,20180501,11,2,0,14,9.89,8.02,2,26,257109,61891,11780,32.36,0.0,151.0057
REC_2018_05_D_012,20180501,12,8,1,22,9.86,10.0,8,25,120230,38896,6724,68.11,14.34,243.7167
REC_2018_05_D_013,20180501,13,7,0,10,4.45,5.32,0,9,32112,8026,1930,21.49,0.0,19.6812
REC_2018_05_D_014,20180501,14,7,0,20,10.38,10.0,8,49,183303,46734,10153,49.24,0.0,179.4147
REC_2018_05_D_015,20180501,15,2,0,6,4.06,3.62,0,13,94996,29053,6324,14.14,0.0,420.5028
REC_2018_05_D_016,20180501,16,7,0,12,6.27,5.13,0,1,110188,29451,7628,25.87,0.0,1692.2869
REC_2018_05_D_018,20180501,18,7,0,21,12.88,10.0,10,84,100550,32139,6896,69.19,0.0,262.5975
REC_2018_05_D_021,20180501,21,8,0,22,12.62,10.0,10,46,308200,57473,9815,32.5,25.04,166.1334
REC_2018_05_D_023,20180501,23,2,0,19,10.55,10.0,16,125,327135,102511,13836,72.8,0.0,2409.0712
REC_2018_05_D_025,20180501,25,7,0,19,9.11,10.0,29,256,312186,114035,22694,67.55,0.0,3717.7828
REC_2018_05_D_030,20180501,30,7,0,19,9.0,10.0,11,90,44845,10857,1450,40.27,0.0,253.1336
REC_2018_05_D_031,20180501,31,7,1,22,8.22,10.0,8,61,93797,30439,7939,68.51,0.0,411.4174
REC_2018_05_D_036,20180501,36,2,0,9,3.73,4.11,1,20,176679,35887,9234,9.64,0.0,26.2831
REC_2018_05_D_040,20180501,40,7,0,21,8.64,10.0,13,34,251970,56884,8392,41.18,0.0,1577.3991
REC_2018_05_D_041,20180501,41,7,1,14,7.76,7.74,0,14,132635,43605,9247,55.8,0.0,239.4261
REC_2018_05_D_045,20180501,45,7,0,15,6.86,6.43,0,4,52213,17391,2344,43.2,0.0,611.1245
REC_2018_05_D_047,20180501,47,7,0,21,8.07,10.0,13,64,160935,48235,11498,65.9,0.0,40.4194
REC_2018_05_D_049,20180501,49,7,1,18,11.95,10.0,5,52,18430,4768,853,47.79,0.0,526.2518
REC_2018_05_D_051,20180501,51,8,0,19,11.9,10.0,4,31,210865,48347,7140,46.09,22.81,216.2013
REC_2018_05_D_052,20180501,52,7,0,22,12.96,10.0,4,50,33574,11061,1900,59.54,0.0,148.034
REC_2018_05_D_053,20180501,53,2,0,3,2.05,2.11,0,12,108594,31405,6339,3.72,0.0,65.2102
REC_2018_05_D_054,20180501,54,2,0,10,5.82,4.49,1,17,271705,80935,12607,27.47,0.0,254.6353
REC_2018_05_D_056,20180501,56,7,0,18,8.31,10.0,9,34,141807,28962,6961,38.68,0.0,604.2795
REC_2018_05_D_061,20180501,61,8,0,19,10.62,10.0,7,62,209978,49941,11064,46.12,41.07,1347.9415
REC_2018_05_D_065,20180501,65,7,0,22,9.88,10.0,4,40,51723,18001,4271,67.48,0.0,304.5318
REC_2018_05_D_069,20180501,69,2,0,9,3.8,3.64,0,2,27001,6825,1367,18.97,0.0,123.0457
REC_2018_05_D_071,20180501,71,8,0,19,8.78,10.0,24,106,353703,88270,12363,47.96,42.0,1231.5929
REC_2018_05_D_073,20180501,73,2,0,9,5.77,5.62,3,23,260028,84644,15333,30.89,0.0,48.9469
REC_2018_05_D_076,20180501,76,7,0,18,8.79,10.0,8,25,178503,50366,8036,51.81,0.0,114.9499
REC_2018_05_D_081,20180501,81,8,0,19,10.01,10.0,5,38,83038,20523,4515,33.48,41.36,996.3724
REC_2018_05_D_082,20180501,82,2,0,5,3.94,3.16,0,10,76560,17051,3933,8.67,0.0,90.835
REC_2018_05_D_083,20180501,83,8,0,12,6.7,6.88,10,94,290941,105204,20740,50.42,20.3,661.8109
REC_2018_05_D_086,20180501,86,7,0,11,6.79,6.19,2,20,277923,84021,13282,37.52,0.0,761.6128
REC_2018_05_D_090,20180501,90,7,0,11,5.15,4.23,0,4,31844,10820,2753,24.39,0.0,165.681
REC_2018_05_D_091,20180501,91,8,1,20,8.7,10.0,43,391,433628,125942,33405,44.11,25.49,89.0875
REC_2018_05_D_093,20180501,93,2,0,11,5.37,4.75,2,30,163504,37991,5824,18.78,0.0,300.1221
REC_2018_06_D_002,20180601,2,7,0,19,10.53,10.0,8,81,203048,45929,7853,46.16,0.0,2961.9112
REC_2018_06_D_014,20180601,14,7,0,22,10.16,10.0,9,79,184388,47011,7327,55.41,0.0,140.6503
REC_2018_06_D_016,20180601,16,7,0,10,7.25,5.81,1,18,118315,31623,6127,25.48,0.0,481.0226
REC_2018_06_D_019,20180601,19,7,0,20,8.13,10.0,3,23,60074,18046,4773,59.25,0.0,349.3111
REC_2018_06_D_021,20180601,21,7,0,18,10.75,10.0,5,45,97028,18093,4010,38.15,0.0,271.1254
REC_2018_06_D_022,20180601,22,7,0,16,9.74,7.7,0,4,57145,14480,2746,44.55,0.0,444.5237
REC_2018_06_D_027,20180601,27,7,0,10,5.68,4.42,0,14,20594,4940,688,19.54,0.0,335.5611
REC_2018_06_D_029,20180601,29,7,0,6,4.41,4.16,0,1,83831,20065,3432,16.95,0.0,239.1952
REC_2018_06_D_030,20180601,30,7,0,22,8.98,10.0,7,31,44370,10742,2857,38.62,0.0,26.9748
REC_2018_06_D_031,20180601,31,7,0,22,12.71,10.0,8,81,93281,30271,7872,59.64,0.0,495.2098
REC_2018_06_D_033,20180601,33,7,0,18,11.1,10.0,22,171,223356,64487,12665,46.96,0.0,508.9943
REC_2018_06_D_041,20180601,41,7,0,22,9.82,10.0,12,83,160620,52805,13822,68.54,0.0,582.9662
REC_2018_06_D_042,20180601,42,2,0,10,3.01,3.74,1,15,134087,29445,5366,10.85,0.0,77.1807
REC_2018_06_D_048,20180601,48,2,0,6,3.99,3.97,0,7,216368,55710,10928,17.34,0.0,101.6166
REC_2018_06_D_049,20180601,49,7,0,21,10.23,10.0,2,17,18213,4712,668,47.09,0.0,270.9051
REC_2018_06_D_050,20180601,50,7,0,18,9.38,8.61,1,17,72924,18674,4161,37.85,0.0,326.8822
REC_2018_06_D_052,20180601,52,7,1,18,10.39,10.0,6,58,33657,11089,1986,60.88,0.0,111.9243
REC_2018_06_D_055,20180601,55,7,0,18,10.27,10.0,5,47,135217,40959,7441,48.81,0.0,654.4609
REC_2018_06_D_056,20180601,56,7,0,22,12.64,10.0,7,50,142318,29067,7200,44.75,0.0,663.6395
REC_2018_06_D_060,20180601,60,7,0,20,8.45,10.0,9,79,149624,42768,7655,50.56,0.0,99.4611
REC_2018_06_D_062,20180601,62,7,0,10,5.34,4.6,1,10,52333,13520,3157,19.56,0.0,261.31
REC_2018_06_D_068,20180601,68,7,0,18,9.17,10.0,11,57,170419,58624,8412,65.15,0.0,513.5909
REC_2018_06_D_071,20180601,71,6,1,19,9.87,10.0,8,77,205761,51349,9649,47.54,0.0,745.5802
REC_2018_06_D_088,20180601,88,7,0,22,12.97,10.0,20,152,236832,60638,13692,46.24,0.0,1038.4261
REC_2018_06_D_090,20180601,90,7,0,20,8.0,10.0,7,64,58379,19837,3803,63.49,0.0,103.1718
REC_2018_06_D_091,20180601,91,7,1,21,11.4,10.0,9,69,169141,49125,11653,53.87,0.0,157.7655
REC_2018_06_D_095,20180601,95,2,0,8,3.07,3.44,0,14,44017,10638,2478,16.84,0.0,65.9252
REC_2018_06_D_097,20180601,97,2,0,6,2.9,3.01,0,2,62358,14564,3106,6.66,0.0,371.1727
REC_2018_06_D_099,20180601,99,7,0,9,4.76,4.84,0,5,91700,32091,5934,32.77,0.0,53.8809
REC_2018_07_D_015,20180701,15,2,0,3,1.99,1.89,0,14,64931,19858,5204,17.79,0.0,25.9792
REC_2018_07_D_027,20180701,27,6,0,19,9.36,10.0,2,12,43139,10348,2153,51.5,0.0,170.7578
REC_2018_07_D_037,20180701,37,3,0,8,2.3,2.8,0,9,26184,6367,857,18.73,0.0,308.1751
REC_2018_07_D_042,20180701,42,2,0,7,4.53,3.65,0,5,133082,29224,5797,17.81,0.0,111.8749
REC_2018_07_D_048,20180701,48,6,0,14,7.52,7.07,2,12,89462,23034,5898,36.87,0.0,662.0981
REC_2018_07_D_072,20180701,72,2,0,10,4.91,4.38,0,12,103680,29876,4393,28.96,0.0,64.0822
REC_2018_08_D_024,20180801,24,2,0,6,2.63,2.75,0,4,51739,13019,2202,9.88,0.0,20.1264
REC_2018_08_D_025,20180801,25,2,0,9,4.64,3.72,0,3,235122,85885,17907,24.45,0.0,321.393
REC_2018_08_D_029,20180801,29,2,0,7,3.49,3.44,0,4,140048,33521,8614,12.19,0.0,227.874
REC_2018_08_D_075,20180801,75,2,0,8,4.4,3.48,0,5,44407,9522,2518,8.44,0.0,306.0947
REC_2018_08_D_086,20180801,86,2,0,6,3.91,3.77,1,12,239742,72478,14340,18.5,0.0,408.0222
REC_2018_08_D_097,20180801,97,2,0,8,3.76,3.71,1,15,73916,17263,3886,11.03,0.0,1197.8892
REC_2018_09_D_051,20180901,51,2,0,8,4.05,3.82,0,3,92564,21223,3499,23.02,0.0,528.055
REC_2018_09_D_092,20180901,92,2,0,6,4.16,3.8,0,4,101345,29008,6241,21.2,0.0,158.3385
REC_2018_10_D_002,20181001,2,8,0,21,8.24,10.0,9,36,240864,54483,14098,43.94,36.82,648.2479
REC_2018_10_D_004,20181001,4,2,0,15,7.3,6.52,9,80,317529,92426,24105,29.72,0.0,721.2998
REC_2018_10_D_011,20181001,11,8,0,18,8.25,10.0,15,63,311965,75096,13416,50.18,21.92,232.8299
REC_2018_10_D_012,20181001,12,2,0,8,4.01,4.87,1,16,67753,21919,5807,33.3,0.0,123.7501
REC_2018_10_D_022,20181001,22,8,0,15,10.13,8.64,2,20,86885,22016,3443,37.48,43.61,1498.8528
REC_2018_10_D_028,20181001,28,2,0,6,2.04,1.6,0,8,98393,26991,6449,15.62,0.0,18.7283
REC_2018_10_D_031,20181001,31,8,1,19,8.72,10.0,37,361,379247,123073,23302,62.3,51.67,12.0063
REC_2018_10_D_032,20181001,32,8,0,18,12.2,9.85,2,33,107024,23746,4265,46.54,27.66,123.3147
REC_2018_10_D_041,20181001,41,8,0,20,12.74,10.0,26,261,363251,119422,19031,57.88,51.51,152.0775
REC_2018_10_D_042,20181001,42,8,0,22,11.26,10.0,12,116,312397,68602,16946,44.87,43.03,448.6321
REC_2018_10_D_044,20181001,44,2,0,4,3.53,3.0,0,11,41291,7604,1240,14.85,0.0,232.8289
REC_2018_10_D_051,20181001,51,8,0,22,12.43,10.0,11,38,210317,48221,8923,38.75,16.23,195.8553
REC_2018_10_D_053,20181001,53,2,0,11,6.33,4.92,1,10,189849,54904,12285,30.79,0.0,151.2192
REC_2018_10_D_061,20181001,61,8,1,22,12.28,10.0,10,78,205348,48839,12337,38.34,32.84,1916.4137
REC_2018_10_D_065,20181001,65,2,0,11,5.81,4.88,1,8,123577,43009,9076,32.91,0.0,62.8599
REC_2018_10_D_071,20181001,71,8,0,19,11.11,10.0,14,80,336652,84014,18627,44.45,45.91,519.0753
REC_2018_10_D_072,20181001,72,8,1,22,11.4,10.0,8,19,195973,56471,14176,43.49,47.68,68.9636
REC_2018_10_D_074,20181001,74,8,1,12,5.56,4.72,0,13,150628,45333,7556,22.43,17.03,358.0389
REC_2018_10_D_075,20181001,75,8,0,2,1.59,1.98,0,2,30862,6618,1315,10.64,0.64,54.6086
REC_2018_10_D_081,20181001,81,8,0,20,8.92,10.0,2,18,81724,20198,2750,49.56,49.09,736.5733
REC_2018_10_D_083,20181001,83,8,0,15,7.07,6.91,7,54,293552,106148,17954,47.54,27.4,567.916
REC_2018_10_D_084,20181001,84,8,0,8,3.14,2.68,0,14,84156,31248,6586,9.05,13.69,174.1128
REC_2018_10_D_091,20181001,91,8,0,21,12.5,10.0,46,150,443373,128773,26149,50.99,33.11,570.9515
REC_2018_10_D_092,20181001,92,8,0,20,10.96,10.0,8,71,205151,58722,14356,54.6,47.59,266.4932
REC_2018_10_D_093,20181001,93,2,0,13,8.72,6.72,2,26,219845,51083,6913,33.45,0.0,1290.6289
REC_2018_10_D_097,20181001,97,2,0,8,4.01,4.0,0,12,77735,18155,3521,16.82,0.0,152.6438
REC_2018_11_D_001,20181101,1,8,1,18,11.49,10.0,3,31,80130,26231,4636,59.09,28.14,970.9138
REC_2018_11_D_002,20181101,2,8,1,19,11.67,10.0,12,114,246066,55660,10081,41.03,31.23,1299.8414
REC_2018_11_D_004,20181101,4,2,0,13,6.31,7.69,10,68,362228,105437,18690,33.32,0.0,668.3334
REC_2018_11_D_011,20181101,11,8,1,22,10.95,10.0,10,45,311086,74884,17193,38.02,25.31,366.0938
REC_2018_11_D_013,20181101,13,8,1,11,5.41,6.1,0,11,174407,43594,10328,27.72,19.91,237.4671
REC_2018_11_D_015,20181101,15,2,0,11,4.27,4.73,0,2,113764,34793,7685,22.65,0.0,472.4919
REC_2018_11_D_021,20181101,21,8,1,19,12.71,10.0,14,38,316993,59112,13882,24.89,21.11,314.7656
REC_2018_11_D_022,20181101,22,8,0,22,8.42,10.0,2,22,99608,25240,6424,47.2,52.21,2682.7518
REC_2018_11_D_023,20181101,23,8,1,17,7.06,7.53,3,44,263505,82571,18374,47.99,18.06,446.2276
REC_2018_11_D_031,20181101,31,8,0,21,8.99,10.0,23,189,384190,124677,29454,58.61,35.16,38.1086
REC_2018_11_D_032,20181101,32,2,0,14,8.41,7.11,0,12,79051,17539,2650,25.01,0.0,92.0148
REC_2018_11_D_041,20181101,41,8,0,22,9.02,10.0,23,69,366888,120618,21540,58.37,44.46,865.3888
REC_2018_11_D_042,20181101,42,8,1,19,12.9,10.0,24,247,312302,68581,9271,35.88,31.13,57.8255
REC_2018_11_D_044,20181101,44,8,0,14,4.9,5.87,0,8,74882,13790,2289,13.64,35.04,61.404
REC_2018_11_D_051,20181101,51,8,0,19,8.95,10.0,10,52,207047,47471,8517,37.92,18.33,569.4132
REC_2018_11_D_052,20181101,52,8,0,22,10.91,10.0,23,156,195625,64454,13069,66.83,31.06,1018.3433
REC_2018_11_D_054,20181101,54,2,0,5,2.1,1.96,0,13,172573,51406,12937,9.34,0.0,207.5398
REC_2018_11_D_061,20181101,61,8,0,22,12.33,10.0,7,27,201974,48037,7717,38.97,39.76,1584.2767
REC_2018_11_D_062,20181101,62,8,0,18,8.36,10.0,44,104,341731,88289,23394,46.71,39.43,220.6248
REC_2018_11_D_063,20181101,63,8,0,14,7.38,6.59,2,26,290600,102349,21298,47.22,30.09,59.9427
REC_2018_11_D_071,20181101,71,8,1,18,10.27,10.0,16,78,344157,85887,14740,42.33,39.87,644.9959
REC_2018_11_D_072,20181101,72,8,1,21,10.25,10.0,4,42,196712,56684,11273,51.19,45.25,533.6741
REC_2018_11_D_073,20181101,73,8,0,16,6.88,7.9,20,118,339441,110494,17736,40.74,45.6,343.8469
REC_2018_11_D_081,20181101,81,8,1,18,8.7,10.0,5,33,81987,20263,3256,46.63,48.56,715.7627
REC_2018_11_D_083,20181101,83,8,0,20,12.15,9.71,35,351,383368,138625,36132,66.11,43.05,2950.7148
REC_2018_11_D_084,20181101,84,8,0,10,6.59,6.06,1,18,140600,52207,8938,42.01,36.71,149.7751
REC_2018_11_D_091,20181101,91,8,1,21,9.59,10.0,30,206,437644,127109,30163,67.95,23.09,1207.4824
REC_2018_11_D_092,20181101,92,8,0,21,11.19,10.0,17,45,203594,58276,9123,58.51,51.84,255.8673
REC_2018_11_D_093,20181101,93,8,0,19,11.85,9.38,18,75,295243,68602,16652,44.52,35.68,300.3809
REC_2018_11_D_094,20181101,94,8,0,7,3.04,2.83,0,14,84662,22303,4825,13.99,24.78,67.1481
REC_2018_12_D_004,20181201,4,3,0,4,2.81,2.57,1,18,167231,48677,10357,12.98,0.0,544.3634
REC_2018_12_D_010,20181201,10,2,0,6,2.35,2.08,0,11,35853,12615,1893,15.19,0.0,221.3859
REC_2018_12_D_015,20181201,15,2,0,3,2.34,2.34,0,1,73504,22480,4636,11.65,0.0,277.9024
